UMAP_1	UMAP_2	label
9.643145596633836	-4.022807024202301	IGROV-1
9.951283490310594	-3.744487665376617	IGROV-1
1.6981430407866691	13.57627687624936	SK-OV-3
3.3180692550048088	8.408134557523773	SK-OV-3
-13.177958453048781	-0.8618042690372004	COV504
3.5311704036101554	8.589584447660492	SK-OV-3
11.191568410049364	-4.888883970460846	IGROV-1
3.078994786392138	10.659751989164398	SK-OV-3
5.390685593734667	-10.928510568819	IGROV-1
5.336544549117968	-11.965748689851715	IGROV-1
0.9691204186782096	13.28465089968686	SK-OV-3
-13.533349001754836	-2.487164161882354	COV504
1.1605867501601432	14.224939443388031	SK-OV-3
10.548184430252	-4.536815069398834	IGROV-1
10.463533436904832	-4.510256670198395	IGROV-1
1.7835679408416008	12.85417757205014	SK-OV-3
2.349292075286791	9.39874658755307	SK-OV-3
2.901128804336474	-10.19351472683902	IGROV-1
9.300114667068407	-3.9763642770862115	IGROV-1
3.947375332961962	-10.30547704525943	IGROV-1
2.44881156648247	8.9626608865643	SK-OV-3
5.423775708328173	-12.48621549435611	IGROV-1
3.232002770553515	8.666188337125824	SK-OV-3
-11.197865450729445	-3.0007506830310358	COV504
2.347436701904223	8.945159055509613	SK-OV-3
3.7628083583220695	-11.601116083345367	IGROV-1
2.8379192706450675	-10.236950777254059	IGROV-1
7.978127514968798	-4.383584402284576	IGROV-1
2.8041689750060295	12.340303518095062	SK-OV-3
2.083826100479052	11.391622640409516	SK-OV-3
-12.431592905868605	-2.7918523771380914	COV504
9.627155339370653	-3.9717234594439996	IGROV-1
5.882482564102099	-12.266652963838531	IGROV-1
9.707670247207567	-4.577209852418854	IGROV-1
5.8543353434905265	-12.442706964693024	IGROV-1
3.6753993388518547	-11.483829401216461	IGROV-1
9.03386787141411	-4.887698553285553	IGROV-1
4.80623344148247	-12.083423517427399	IGROV-1
8.011087453018114	-4.32261457272525	IGROV-1
-14.967992747177199	-2.251159809312774	COV504
-11.763969385971144	-3.403878591737701	COV504
4.201503789077685	-10.353930376253082	IGROV-1
10.43296626771538	-3.621788166246368	IGROV-1
3.593444382797167	9.624325849332855	SK-OV-3
5.294091736923144	-12.201957605562164	IGROV-1
