tool	TPR_annotated	TPR_unannotated	TPR_all	FDR_all	F1_all
Bambu + StringTie2	93.93201773450404	21.259198691741616	72.24763647453491	2.7544025286318297	82.90318629595282
ESPRESSO + StringTie2	79.26193166999913	35.91578086672118	66.32814882586155	6.756698821007502	77.51581573554309
FLAIR	59.09328001390941	21.484055600981193	47.871302226288506	25.543117351294942	58.27517077517077
IsoQuant + StringTie2	89.64183256541772	39.49304987735078	74.67825556572126	2.5199044585987265	84.56915903988948
Isosceles + IsoQuant	98.90898026601756	50.531479967293535	84.47392497712717	4.271643338517366	89.74969623329284
Isosceles	98.90898026601756	29.599345870809486	78.22811832875877	4.033072692581092	86.19432450141971
Isosceles + StringTie2	98.19177605841955	42.67170891251022	81.62549557792009	6.0514584576503205	87.35455865794155
LIQA + StringTie2	57.72841867338955	4.630008176614881	41.88472095150961	2.1725194102144028	58.65596104977685
NanoCount + StringTie2	59.99739198469965	14.789452166802944	46.50808173223544	3.2421800647167056	62.82053922679245
