UMAP_1	UMAP_2	pseudotime_glut_T1	pseudotime_glut_T2	pseudotime_gaba	pseudotime_rad_glia	pseudotime_cyc_rad_glia	pseudotime_cr_cells
4.381385502334432	2.7071617360432016	NA	NA	NA	NA	30.40207368621805	NA
-0.046060564998789855	1.8738034482319224	NA	NA	69.05360495355787	NA	NA	NA
-0.5280768303910933	2.042151522191273	NA	NA	69.25376799674173	NA	NA	NA
-0.16834163952271564	3.22769386723827	NA	NA	70.40336985643694	NA	NA	NA
-0.7156880228559218	3.0660320039112436	NA	NA	73.85786279561763	NA	NA	NA
0.7117277951200761	-2.9335526709239614	7.0965132542142735	6.642327618816574	NA	NA	NA	NA
4.45857160996993	2.4956839795429575	NA	NA	NA	NA	33.20073309449773	NA
-2.871933522705241	-3.158739018885387	18.251788854325056	NA	NA	NA	NA	NA
6.218362984176473	0.24897032633613225	NA	NA	NA	189.5890557605055	NA	NA
0.765278753753499	-3.0568022017161978	7.872312768500655	7.244802215526421	NA	NA	NA	NA
3.5734626622160235	3.003490280659901	NA	NA	NA	NA	25.531120907909102	NA
5.120731052871541	2.27363736584972	NA	NA	NA	NA	41.70972877126884	NA
-1.1912021218578062	3.0563693757374155	NA	NA	73.63446101649434	NA	NA	NA
-3.3168788580934248	-2.865943360773815	18.841948376759397	NA	NA	NA	NA	NA
-2.692963305000468	-2.242983746973766	18.936593081080126	NA	NA	NA	NA	NA
-0.153334322456523	1.8779235596973765	NA	NA	70.1297244405675	NA	NA	NA
-0.888209822658702	3.502276730092274	NA	NA	74.80289405035094	NA	NA	NA
-1.841944876197978	-3.270608592478527	14.868764675376262	NA	NA	NA	NA	NA
-0.20441288042466266	2.191770147832142	NA	NA	65.58260204812605	NA	NA	NA
-0.9237129642407141	-3.230246234385265	13.531696478134993	NA	NA	NA	NA	NA
5.1564986081083575	2.174041819127308	NA	NA	NA	NA	42.649837867789685	NA
-1.5183906583825788	-3.18026511713673	14.358192366780228	NA	NA	NA	NA	NA
-2.406807723526164	-2.80080955073048	16.98455291327433	NA	NA	NA	NA	NA
-1.5907613663713178	3.4902685399372446	NA	NA	79.59466481176061	NA	NA	NA
4.729458984847859	2.273139309437977	NA	NA	NA	NA	36.2388955835829	NA
0.11937015962202924	2.4560442681629526	NA	NA	66.4495870620077	NA	NA	NA
-0.10315442371766192	3.312742065938221	NA	NA	71.2300954531249	NA	NA	NA
4.421910938735799	2.579688381703602	NA	NA	NA	NA	32.39420005574549	NA
1.1846224636991778	-2.7944888357799185	3.50483867792375	3.3155178010889554	NA	NA	NA	NA
-0.22393304396073443	-2.3535336737315786	11.093626179732897	NA	NA	NA	NA	NA
5.6068841786344805	1.1657247062046396	NA	NA	NA	194.53401616118816	NA	NA
5.256059822555379	1.6225368495304453	NA	NA	NA	NA	40.45293454049015	NA
-0.7327550976316176	-2.8618814234416616	12.556278736924643	NA	NA	NA	NA	NA
-1.1084650411049566	-3.5686020140330923	13.908397503358994	NA	NA	NA	NA	NA
5.61471527528365	0.18816023722480413	NA	NA	NA	195.15562456067065	NA	NA
-3.007588687423869	-1.6098508124034536	24.33164154529819	NA	NA	NA	NA	NA
-3.2059064536134443	-3.0658675913493765	18.993602430382346	NA	NA	NA	NA	NA
-3.1989606051484785	-2.827895093409313	18.993602430382346	NA	NA	NA	NA	NA
-2.230385604385539	-2.592142272440685	16.811388801605293	NA	NA	NA	NA	NA
-3.4511836199800214	-2.735729384867443	20.711463726328326	NA	NA	NA	NA	NA
-3.3323205142060957	-2.9282380823772085	19.728593041709193	NA	NA	NA	NA	NA
-1.4323069779912672	-2.108170676676525	NA	23.420697798084202	NA	NA	NA	NA
-0.08641350555817706	1.9572652097065317	NA	NA	70.28778958930718	NA	NA	NA
-1.5196579723397932	2.678232025655018	NA	NA	73.91042401030005	NA	NA	NA
-0.18952620315949542	-2.2776970152537954	10.78292746826786	NA	NA	NA	NA	NA
-2.6030574469606123	-3.3304151777904165	16.794513909060658	NA	NA	NA	NA	NA
-0.27260631609360797	2.9539540524799692	NA	NA	70.40336985643694	NA	NA	NA
-1.6806915431062421	2.5687199349720347	NA	NA	80.45789398326252	NA	NA	NA
5.789680656905965	0.18539662316630956	NA	NA	NA	193.53449479748792	NA	NA
-2.1554507641832075	-3.3963376764934194	17.01264523063179	NA	NA	NA	NA	NA
-3.2903915076295576	-2.824019837824596	20.35865138182625	NA	NA	NA	NA	NA
0.10158222627241986	3.2779408212025034	NA	NA	69.8195929256634	NA	NA	NA
-3.1919577746431074	-3.072275090662731	19.14529436547486	NA	NA	NA	NA	NA
-2.238255920890971	-2.0366441492717398	15.985880635796388	NA	NA	NA	NA	NA
3.5451657147367754	3.111428808720814	NA	NA	NA	NA	27.69729804519298	NA
-1.0065914868156156	-3.5610665564220083	14.750441698155205	NA	NA	NA	NA	NA
-1.9242578773538312	2.6647680516559946	NA	NA	78.07665207750144	NA	NA	NA
-0.2380523710290633	3.550832819493519	NA	NA	72.71949459075557	NA	NA	NA
6.35044640016158	0.0382300115395653	NA	NA	NA	184.9324261782812	NA	NA
-2.5822234778444013	-1.7483375553767813	24.047950835706658	NA	NA	NA	NA	NA
4.972916302200154	0.05126647494922755	0.5656949785452139	0.5668461563192352	NA	NA	NA	NA
3.3886081547697344	3.1665983910877573	NA	NA	NA	NA	28.606702295728798	NA
-3.4014688162843427	-1.747920203654064	22.09921901044579	NA	NA	NA	NA	NA
-1.026704984788104	3.3470872159321177	NA	NA	74.57875287352671	NA	NA	NA
4.646249947067098	2.2041331048328745	NA	NA	NA	NA	35.121634526357425	NA
5.414673027511434	-0.1228992824237478	NA	NA	NA	200.9843856822106	NA	NA
5.805354294296102	0.7241769547779429	NA	NA	NA	192.73926211014006	NA	NA
-2.8698173193971357	-1.749420094935192	22.267204937263855	NA	NA	NA	NA	NA
-2.799764814857646	-0.026756766883624813	NA	NA	NA	NA	NA	558.1589954812454
0.14142638158400433	2.4951859231312143	NA	NA	65.23362257272815	NA	NA	NA
4.285848793502645	3.2769342179615366	NA	NA	NA	NA	18.69015749417594	NA
-1.7817727952043256	-2.1621548418681753	16.185520833434573	NA	NA	NA	NA	NA
-2.664834919456645	-2.111400533167614	20.767537089666895	NA	NA	NA	NA	NA
-3.429384055618449	-1.9793693308513296	20.876607436257036	NA	NA	NA	NA	NA
-2.0145857958833417	2.496003937276112	NA	NA	81.5294846046035	NA	NA	NA
0.23642581414778607	2.2135225053150522	NA	NA	68.06894383476043	NA	NA	NA
-1.034479091946288	3.2440059895832407	NA	NA	74.47611428537957	NA	NA	NA
0.7639631600340165	-1.691023755518688	NA	14.780285771173824	NA	NA	NA	NA
-1.5962638287584028	-0.8767388348262442	NA	26.88797314467297	NA	NA	NA	NA
-2.6203057198564252	-1.2898226265590322	23.856572549746286	NA	NA	NA	NA	NA
-1.8576654820481977	-0.808248150793804	NA	28.47679423511875	NA	NA	NA	NA
-0.4600945739785872	-1.3067654852550161	NA	21.272414620540893	NA	NA	NA	NA
0.6476795048673906	-1.4077365879695547	NA	15.400105610179303	NA	NA	NA	NA
5.538659748550252	1.272384595425831	NA	NA	NA	194.53401616118816	NA	NA
-1.9202573328057966	-3.361241269556774	16.193900947621067	NA	NA	NA	NA	NA
4.439891037460164	2.564532589467274	NA	NA	NA	NA	32.30748475469708	NA
-1.5038314490358076	2.8283465619404184	NA	NA	77.60402614333795	NA	NA	NA
6.281775173660115	0.12769492373059865	NA	NA	NA	187.32375721785607	NA	NA
-3.109735789779826	-2.95677034899403	18.251685295108587	NA	NA	NA	NA	NA
-1.1160111232439718	-2.6589974646251333	13.459558708124558	NA	NA	NA	NA	NA
-1.5028615622560224	2.596740078480946	NA	NA	75.13233222504115	NA	NA	NA
3.92486160707076	3.2156337018329966	NA	NA	NA	NA	21.664743706455518	NA
-1.4990945487062177	-0.9241383557002676	NA	26.317745000563797	NA	NA	NA	NA
-0.43463915872971637	-3.3240584616344107	11.093626179732897	NA	NA	NA	NA	NA
4.2367884488066	3.3065918202717173	NA	NA	NA	NA	16.45684795171259	NA
-1.108715514723464	-3.2158710245769155	13.986881495225258	NA	NA	NA	NA	NA
-1.596049907688304	-2.097689080683483	15.515465987993382	NA	NA	NA	NA	NA
-0.13048333216111285	1.917616438420521	NA	NA	69.85934851319612	NA	NA	NA
-1.7515690951387128	2.437966656239735	NA	NA	79.73544419206121	NA	NA	NA
5.137300190444783	-0.16324800595451716	NA	NA	NA	201.87734710415535	NA	NA
-2.3520229487458906	-0.21597279950786952	NA	NA	NA	NA	NA	562.2793454159055
-1.6670621066133222	3.002512049229847	NA	NA	78.45456061906401	NA	NA	NA
5.538184818740682	0.23348991230319616	NA	NA	NA	196.229410351349	NA	NA
5.626353916641072	0.4596681113560068	NA	NA	NA	194.53401616118816	NA	NA
6.374041733260945	-0.016933951226962826	NA	NA	NA	179.90006040630627	NA	NA
0.7424202532728471	-2.9928607229869497	7.469511400556216	6.69260459031689	NA	NA	NA	NA
-0.7217549114267073	-3.1129349951427114	12.819445593014475	NA	NA	NA	NA	NA
-3.2728508143464765	-2.1281844858806265	20.7729651471101	NA	NA	NA	NA	NA
-1.7838963298837385	1.9361407275516855	NA	NA	74.9479584050239	NA	NA	NA
4.5649787754972735	2.5159168954212534	NA	NA	NA	NA	33.08373681733394	NA
0.2775130839308061	-1.6258719448726309	NA	11.68561961848421	NA	NA	NA	NA
-0.5522310762445174	-2.541987586466564	13.031728675562988	NA	NA	NA	NA	NA
0.0450466246565141	-1.1381325010936392	NA	17.421695417953458	NA	NA	NA	NA
-1.2111295639316282	-0.7508028630893362	NA	23.11755709625543	NA	NA	NA	NA
5.103130039687947	2.3065942044575083	NA	NA	NA	NA	40.212629484912924	NA
4.005357918258504	3.111267160924183	NA	NA	NA	NA	21.781372486164162	NA
3.9884306759794512	2.800231766255604	NA	NA	NA	NA	29.76940369064199	NA
5.917112526412801	0.256530057938801	NA	NA	NA	192.82168312402985	NA	NA
5.9978987545927325	0.4909876699764597	NA	NA	NA	190.38249078548773	NA	NA
4.846947845931844	2.50170452550243	NA	NA	NA	NA	36.426366316785845	NA
5.389537510391072	1.6087594743091929	NA	NA	NA	NA	43.325783953211484	NA
6.308895763870076	0.009700644129918792	NA	NA	NA	187.0630130881376	NA	NA
6.243802723403768	0.12158566370795844	NA	NA	NA	187.81352515721665	NA	NA
5.771756824966268	0.821064126046406	NA	NA	NA	193.46094040409568	NA	NA
