tool	downsample_percentage	ground_truth_percentile	median_rel_diff_annotated	median_rel_diff_all	mean_rel_diff_annotated	mean_rel_diff_all
Bambu	10	0	0.5961889693480898	0.8442784357081251	0.9803445328562818	1.0860029967554798
Bambu	10	3	0.8365261916715302	1.003446243095337	1.0626760302510114	1.1645180712297747
Bambu	10	6	0.6582625706980713	0.860641704070354	1.0032717262516755	1.1068600096754906
Bambu	10	9	0.6823792152063949	0.8442784357081251	0.9400113224240111	1.048782796380501
Bambu	10	12	0.5944104290819812	0.7142380552628693	0.8029549443663409	0.9321221802952171
Bambu	10	15	0.5657255281739296	0.7053804558830578	0.7970457201696999	0.9444524851089451
Bambu	10	18	0.6197323234548197	0.7244410712452918	0.8077816413355776	0.9457143488269343
Bambu	10	21	0.5140970518907656	0.598184528036872	0.6919172642264175	0.8331963810474127
Bambu	10	24	0.49373516925397404	0.5852493297549513	0.6935411609515818	0.8433764805205152
Bambu	10	27	0.4880014066664251	0.5984969575748483	0.6913118615280882	0.844772032525539
Bambu	10	30	0.44660080644523725	0.5361382629242413	0.6300000354273768	0.794702501925577
Bambu	10	33	0.4274024082533558	0.5209509138907009	0.6058630428353525	0.7794201595604593
Bambu	10	36	0.37881153471006246	0.4527711281127198	0.5762321150472143	0.7305422004772484
Bambu	10	39	0.37589967494360854	0.4311906284137649	0.5395082088955476	0.6952586862513684
Bambu	10	42	0.36389438969830423	0.41767404606238023	0.5260897577220772	0.67825485313456
Bambu	10	45	0.34783033019873116	0.41813296343036405	0.4971859883430277	0.6763746161506214
Bambu	10	48	0.32836277173852946	0.40970964704409285	0.5126280463536735	0.6917503253126879
Bambu	10	51	0.3101303550363915	0.369778462494887	0.4869175506851579	0.6330002254965934
Bambu	10	54	0.2992657773081163	0.3629909608417497	0.46445078834679693	0.6207394903242961
Bambu	10	57	0.28355646798395495	0.34536096486602647	0.4413704384564995	0.5902038347064089
Bambu	10	60	0.24980803357964937	0.2915236989795016	0.4137895103549379	0.5612267267816841
Bambu	10	63	0.22602135387402886	0.264236387118857	0.40322658905726577	0.5376521010097528
Bambu	10	66	0.2118446119826436	0.25118123832901584	0.37234382254876325	0.5223831528187712
Bambu	10	69	0.18193610905588642	0.19989212603686826	0.34685253274942307	0.45212213022378367
Bambu	10	72	0.16960040826553702	0.1959911805211345	0.32362324404098225	0.4581284449995245
Bambu	10	75	0.15195751166225863	0.17065372865528755	0.29757702260658914	0.41621449395513666
Bambu	10	78	0.13711834308003285	0.15267884144001867	0.27325651210038027	0.3916079272849209
Bambu	10	81	0.12504907931335418	0.1350702676779593	0.2661948738753123	0.36813857668600436
Bambu	10	84	0.10973960247274012	0.12075349796704013	0.23045576331300216	0.3506212260760303
Bambu	10	87	0.10098424892888694	0.10965576929624896	0.22848486266602902	0.34445486128498454
Bambu	10	90	0.09386748489950625	0.09928145737193544	0.20010014305081994	0.2969227981172289
Bambu	10	93	0.08344047593392964	0.08763936437431147	0.184269039665828	0.2803219993805693
Bambu	10	99	0.07956246730141894	0.08330388725398633	0.16589910150819182	0.24299991393819675
Bambu	20	0	0.6487230670745113	1.061740113459455	0.9950195725710443	1.2018688497710917
Bambu	20	3	0.8597248587612387	1.5547684786443652	1.0620901916186705	1.2760772752904053
Bambu	20	6	0.6586731844755938	1.0679579660883836	0.9768157303208148	1.1994376968836902
Bambu	20	9	0.6446466561049354	1.0453204730307766	0.9130131566800161	1.18026474036291
Bambu	20	12	0.6115661914442843	0.9457402129872781	0.8112101153649729	1.1213290364531965
Bambu	20	15	0.5257038939389906	0.8166032387765036	0.7305298180604943	1.033515148493186
Bambu	20	18	0.6029694689640271	0.8771057568774971	0.7845238532027512	1.0651613468656738
Bambu	20	21	0.4922270164928949	0.7260530065661266	0.6929626173924136	1.002101840326645
Bambu	20	24	0.5029342547398158	0.8312101967835599	0.7046727593409723	1.0449873206446318
Bambu	20	27	0.5167427600247423	0.8499236409417414	0.7094425495052303	1.046273475611128
Bambu	20	30	0.45423879328168604	0.719849694136439	0.6383220838783042	0.9870499146046262
Bambu	20	33	0.4591525992278619	0.6336002398226008	0.6094624091684268	0.9179515998371238
Bambu	20	36	0.39975639389130624	0.6011696929779288	0.5991615585510135	0.906622994409138
Bambu	20	39	0.39999903828723316	0.5855129173794136	0.5631032637464584	0.9090256350874353
Bambu	20	42	0.38308116746487775	0.5641515392586516	0.5742946391488647	0.8745851101225162
Bambu	20	45	0.3694512670483409	0.5029127865338731	0.5229794950631612	0.8019510652859809
Bambu	20	48	0.3473409613402897	0.5212508802844213	0.5254534657080189	0.8034623710328999
Bambu	20	51	0.34684178882678207	0.49413909911075543	0.5047031693686458	0.8154169653250974
Bambu	20	54	0.31546783027998726	0.4250864163126553	0.4901269322452709	0.7412991442731094
Bambu	20	57	0.3133524138080646	0.4348782362654313	0.4786315088060402	0.7544601107445464
Bambu	20	60	0.25337780284391553	0.36473565574687267	0.43503436493794156	0.7281148970064106
