tool	ground_truth_percentile	median_rel_diff_annotated	median_rel_diff_all
Bambu	0	0.6179668717926713	1.9319311008231366
Bambu	3	0.7470179804509829	2.0
Bambu	6	0.6979936774162178	2.0
Bambu	9	0.6530154674000838	1.722686166355166
Bambu	12	0.6242508490452896	1.1057173575928896
Bambu	15	0.5611246953295641	1.0578252814352662
Bambu	18	0.6133838514273428	1.1542414802573489
Bambu	21	0.5382411147922026	1.1118690891890601
Bambu	24	0.536801452443275	1.1990506465384314
Bambu	27	0.5267472660765459	1.1221038558033265
Bambu	30	0.45499802644548726	1.1761403440140938
Bambu	33	0.47339484369292417	0.9074540299977367
Bambu	36	0.40104444889898794	0.8798736420387682
Bambu	39	0.4133427150670927	1.0471706532585845
Bambu	42	0.3913701969014125	0.7779509809896548
Bambu	45	0.3731673697284989	0.7223461287173812
Bambu	48	0.3831609435729492	0.7056456485592844
Bambu	51	0.3651455859519278	0.6824413544655007
Bambu	54	0.3209625123980923	0.55195459602819
Bambu	57	0.35213619308861177	0.555097313347952
Bambu	60	0.2581832071083849	0.483146520747919
Bambu	63	0.2323237072541847	0.44707877510735516
Bambu	66	0.23112644352228343	0.3843145650109532
Bambu	69	0.19589186540927248	0.29671406616876256
Bambu	72	0.18158250109812726	0.2737485292542621
Bambu	75	0.1716168094441566	0.2577204641458477
Bambu	78	0.16301356135164624	0.2144892333407437
Bambu	81	0.14637275940369138	0.1997934952533852
Bambu	84	0.13157010681668435	0.16095843466331627
Bambu	87	0.11802709623121416	0.13903990215695605
Bambu	90	0.11641720643841186	0.134439500659616
Bambu	93	0.105257425603617	0.11987187981851888
Bambu	99	0.10133916086506886	0.11099922164802906
ESPRESSO	0	2.0	2.0
ESPRESSO	3	2.0	2.0
ESPRESSO	6	2.0	2.0
ESPRESSO	9	2.0	2.0
ESPRESSO	12	2.0	2.0
ESPRESSO	15	1.237721906750779	2.0
ESPRESSO	18	1.136467104748363	2.0
ESPRESSO	21	0.8823116252409957	2.0
ESPRESSO	24	0.9414896636690159	2.0
ESPRESSO	27	0.7188640679938016	2.0
ESPRESSO	30	0.6485328888469877	2.0
ESPRESSO	33	0.5712217211686679	1.3816416972523142
ESPRESSO	36	0.5343357552661222	1.1200805644597347
ESPRESSO	39	0.5298115227240767	1.1783448860871946
ESPRESSO	42	0.5321999236339647	0.9304787133347157
ESPRESSO	45	0.4760669106001413	0.7386206973174063
ESPRESSO	48	0.4853403291083455	0.6732057408800037
ESPRESSO	51	0.4491023679168785	0.6103532189470282
ESPRESSO	54	0.3982065474525786	0.5730440082297923
ESPRESSO	57	0.39413249205552575	0.48917779040217924
ESPRESSO	60	0.344382002745224	0.4406007020804214
ESPRESSO	63	0.34308837509342405	0.4160739665199603
ESPRESSO	66	0.3540427481880285	0.4356587497191195
ESPRESSO	69	0.31320912627133807	0.3690171619883781
ESPRESSO	72	0.28980192901806967	0.341435570429799
ESPRESSO	75	0.2662599034078342	0.31933048158476907
ESPRESSO	78	0.26050198077649567	0.29053740990885996
ESPRESSO	81	0.25238733479548725	0.27218852342904315
ESPRESSO	84	0.22619482171784344	0.24377936649011117
ESPRESSO	87	0.21397362939891182	0.22106549558176555
ESPRESSO	90	0.22251966422322614	0.2249157144366278
ESPRESSO	93	0.18706482099586746	0.1879263598367427
ESPRESSO	99	0.19391286758087845	0.1964147229288923
FLAIR	0	2.0	2.0
FLAIR	3	2.0	2.0
FLAIR	6	2.0	2.0
FLAIR	9	2.0	2.0
FLAIR	12	2.0	2.0
FLAIR	15	2.0	2.0
FLAIR	18	2.0	2.0
FLAIR	21	2.0	2.0
FLAIR	24	2.0	2.0
FLAIR	27	1.4011627141683647	2.0
FLAIR	30	1.106615542503829	2.0
FLAIR	33	1.1755746864939247	2.0
FLAIR	36	0.9295800609214319	1.807890303055535
FLAIR	39	0.7936535837000309	1.4730432536676963
FLAIR	42	0.8460444378003865	1.5727876967717536
FLAIR	45	0.7029630160240739	1.1053740441168909
FLAIR	48	0.7241882684877339	1.0723336998836186
FLAIR	51	0.7616544686455848	1.0672622054708665
FLAIR	54	0.6592972325033369	0.9926012307649701
FLAIR	57	0.6318840140983568	0.8609623444661768
FLAIR	60	0.5838539609834552	0.8589314685428531
FLAIR	63	0.5767820623188006	0.8003419310802804
FLAIR	66	0.5511279013273865	0.7735462663988741
FLAIR	69	0.5106534790484993	0.6365788899486773
FLAIR	72	0.5279180067304852	0.6678518171525075
FLAIR	75	0.48319480640866286	0.5773363099004549
FLAIR	78	0.5136353834534726	0.6210135275475914
FLAIR	81	0.5037006396493009	0.6568916294454956
FLAIR	84	0.5060632482350362	0.6745332979669467
FLAIR	87	0.5250410195654954	0.8000844975531549
FLAIR	90	0.6941113329313534	1.6912474502888137
FLAIR	93	2.0	2.0
FLAIR	99	2.0	2.0
IsoQuant	0	1.6819541268226859	2.0
IsoQuant	3	1.734765461229796	2.0
IsoQuant	6	1.6205458375287933	2.0
IsoQuant	9	1.4483052548717281	2.0
IsoQuant	12	0.951836475204001	2.0
IsoQuant	15	0.9223831736183356	1.7150581734352517
IsoQuant	18	0.8912267439899145	1.7830863346804664
IsoQuant	21	0.8275667776211976	1.5632783285264997
IsoQuant	24	0.8224380525061592	1.553312363801476
IsoQuant	27	0.7747278078988686	1.4171563223732975
IsoQuant	30	0.7462292362091963	1.4661613405436533
IsoQuant	33	0.6927325976536138	1.1673980300087519
IsoQuant	36	0.5506248342510027	0.9112582477422907
IsoQuant	39	0.4547777559544916	0.9028138093242688
IsoQuant	42	0.4562154594619737	0.7310158728984129
IsoQuant	45	0.35421393698759035	0.6110538057770035
IsoQuant	48	0.33308161317422674	0.45631187569468734
IsoQuant	51	0.35731967495677	0.4878872969859853
IsoQuant	54	0.27282225369658963	0.3741233826256266
