tool	ref_quantile	n_cells	mean_rel_diff	median_rel_diff
IsoQuant	42	Pseudobulk	1.3048800461367283	2
IsoQuant	42	Single cell	1.9996264891825912	2
Isosceles	42	Pseudobulk	0.9521746950805225	0.7516355033785731
Isosceles	42	Single cell	1.9457985074383168	2
Sicelore	42	Pseudobulk	1.935970601778313	2
Sicelore	42	Single cell	1.9999848870987385	2
FLAMES	45	Pseudobulk	1.9791592855501046	2
FLAMES	45	Single cell	1.9999833254279389	2
IsoQuant	45	Pseudobulk	1.2579545646250365	2
IsoQuant	45	Single cell	1.9994529022809335	2
Isosceles	45	Pseudobulk	0.8504813290104972	0.6987510713910944
Isosceles	45	Single cell	1.9513529899191657	2
Sicelore	45	Pseudobulk	1.9264093430446312	2
Sicelore	45	Single cell	1.9999842488909152	2
FLAMES	48	Pseudobulk	1.9819655622056194	2
FLAMES	48	Single cell	1.9999592724495256	2
IsoQuant	48	Pseudobulk	1.189500469838709	0.8418024521626508
IsoQuant	48	Single cell	1.9992275357933809	2
Isosceles	48	Pseudobulk	0.8381830560513549	0.7070481907228796
Isosceles	48	Single cell	1.9455230144120803	2
Sicelore	48	Pseudobulk	1.9006563624456154	2
Sicelore	48	Single cell	1.9999785572836006	2
FLAMES	51	Pseudobulk	1.9774987635374504	2
FLAMES	51	Single cell	1.999943663505197	2
IsoQuant	51	Pseudobulk	1.1644921665445818	0.8527784942454886
IsoQuant	51	Single cell	1.9988975198988563	2
Isosceles	51	Pseudobulk	0.7867255563541532	0.6400208786435034
Isosceles	51	Single cell	1.9436388574005945	2
Sicelore	51	Pseudobulk	1.8827627630309023	2
Sicelore	51	Single cell	1.999964717144596	2
FLAMES	54	Pseudobulk	1.9829588553360973	2
FLAMES	54	Single cell	1.9999720417733482	2
IsoQuant	54	Pseudobulk	1.0761189320348818	0.9313151190806863
IsoQuant	54	Single cell	1.9983848587619353	2
Isosceles	54	Pseudobulk	0.7262056887599502	0.5600865737872418
Isosceles	54	Single cell	1.9301927778803212	2
Sicelore	54	Pseudobulk	1.8421462520674026	2
Sicelore	54	Single cell	1.9999507659905398	2
FLAMES	57	Pseudobulk	1.9744323173641987	2
FLAMES	57	Single cell	1.9999239884857527	2
IsoQuant	57	Pseudobulk	1.0842685098908598	1.046273786087706
IsoQuant	57	Single cell	1.9979052859057695	2
Isosceles	57	Pseudobulk	0.692860408978735	0.5628265593935213
Isosceles	57	Single cell	1.9250007033361234	2
Sicelore	57	Pseudobulk	1.8161490364470811	2
Sicelore	57	Single cell	1.9999396033151293	2
FLAMES	60	Pseudobulk	1.962836388445574	2
FLAMES	60	Single cell	1.999756372004086	2
IsoQuant	60	Pseudobulk	0.9810750060782537	0.7473609690079507
IsoQuant	60	Single cell	1.9965465985466466	2
Isosceles	60	Pseudobulk	0.6144103160890821	0.47951340171109463
Isosceles	60	Single cell	1.9088715278780195	2
Sicelore	60	Pseudobulk	1.7356588770133847	2
Sicelore	60	Single cell	1.9999112486279889	2
FLAMES	63	Pseudobulk	1.9736617593741617	2
FLAMES	63	Single cell	1.9997692128923494	2
IsoQuant	63	Pseudobulk	0.9961879569805854	0.8637340123780242
IsoQuant	63	Single cell	1.9950419110251068	2
Isosceles	63	Pseudobulk	0.5899401205653229	0.4462538569096506
Isosceles	63	Single cell	1.9029046910742404	2
Sicelore	63	Pseudobulk	1.6579882366614804	2
Sicelore	63	Single cell	1.9998302842279132	2
FLAMES	66	Pseudobulk	1.9468437754864967	2
FLAMES	66	Single cell	1.9995229927957827	2
IsoQuant	66	Pseudobulk	0.9272934259335572	0.7408308782659345
IsoQuant	66	Single cell	1.9930859768717724	2
Isosceles	66	Pseudobulk	0.5406247931125475	0.41869280889004645
Isosceles	66	Single cell	1.8806489499487806	2
Sicelore	66	Pseudobulk	1.6476567210459168	2
Sicelore	66	Single cell	1.9998504575883245	2
FLAMES	69	Pseudobulk	1.9407912663437636	2
FLAMES	69	Single cell	1.9991653999673762	2
IsoQuant	69	Pseudobulk	0.896410249125511	0.7318141278624186
IsoQuant	69	Single cell	1.9893483238314718	2
Isosceles	69	Pseudobulk	0.4580013796343174	0.3352297113708476
Isosceles	69	Single cell	1.8692203634757776	2
Sicelore	69	Pseudobulk	1.5995409214418488	2
Sicelore	69	Single cell	1.9997537532310456	2
FLAMES	72	Pseudobulk	1.9290130606927112	2
FLAMES	72	Single cell	1.9987440117273882	2
IsoQuant	72	Pseudobulk	0.8659950593378786	0.7225683320281222
IsoQuant	72	Single cell	1.9842450677857064	2
Isosceles	72	Pseudobulk	0.44863835581495903	0.3191455145027461
Isosceles	72	Single cell	1.847511009160951	2
Sicelore	72	Pseudobulk	1.541998830685449	2
Sicelore	72	Single cell	1.9996226238674388	2
FLAMES	75	Pseudobulk	1.937254849469728	2
FLAMES	75	Single cell	1.9983570269524578	2
IsoQuant	75	Pseudobulk	0.8364679089564989	0.6900690533116014
IsoQuant	75	Single cell	1.9773950820085149	2
Isosceles	75	Pseudobulk	0.4143803196871153	0.29277777794179066
Isosceles	75	Single cell	1.8177358200151048	2
Sicelore	75	Pseudobulk	1.5200530977994144	2
Sicelore	75	Single cell	1.9994501120849106	2
FLAMES	78	Pseudobulk	1.8859661318690253	2
FLAMES	78	Single cell	1.9963654293337931	2
IsoQuant	78	Pseudobulk	0.8126973094362531	0.636063886846538
IsoQuant	78	Single cell	1.9677933785630126	2
Isosceles	78	Pseudobulk	0.3844318365202981	0.2777688985140263
Isosceles	78	Single cell	1.7846187273368026	2
Sicelore	78	Pseudobulk	1.451230574104294	2
Sicelore	78	Single cell	1.999292573669221	2
FLAMES	81	Pseudobulk	1.8608997187205927	2
FLAMES	81	Single cell	1.9932383247003034	2
IsoQuant	81	Pseudobulk	0.7723976192404517	0.5609285847271421
IsoQuant	81	Single cell	1.9521771783366462	2
Isosceles	81	Pseudobulk	0.3531709386609931	0.25637725954550955
Isosceles	81	Single cell	1.7266171274960336	2
Sicelore	81	Pseudobulk	1.4120267752929816	2
Sicelore	81	Single cell	1.998718068823329	2
FLAMES	84	Pseudobulk	1.7911518212385855	2
FLAMES	84	Single cell	1.986685191267613	2
IsoQuant	84	Pseudobulk	0.6873038389330121	0.4593226370496559
IsoQuant	84	Single cell	1.9241745973031381	2
Isosceles	84	Pseudobulk	0.3093006986393442	0.22016203045925617
Isosceles	84	Single cell	1.662027167735695	2
Sicelore	84	Pseudobulk	1.3285481538015618	2
Sicelore	84	Single cell	1.998062409602774	2
FLAMES	87	Pseudobulk	1.7604124866646627	2
FLAMES	87	Single cell	1.9783976289828207	2
IsoQuant	87	Pseudobulk	0.6496399732357548	0.44756844203422663
IsoQuant	87	Single cell	1.8823903313716082	2
Isosceles	87	Pseudobulk	0.289392947287355	0.19320363780465954
Isosceles	87	Single cell	1.5733676726664854	2
Sicelore	87	Pseudobulk	1.2940915356478606	1.250113049859201
Sicelore	87	Single cell	1.9968674132190325	2
FLAMES	90	Pseudobulk	1.6789449644937147	2
FLAMES	90	Single cell	1.954473789590815	2
IsoQuant	90	Pseudobulk	0.6076820954286933	0.3967055709933587
IsoQuant	90	Single cell	1.8081299250378198	2
Isosceles	90	Pseudobulk	0.26153552115677	0.16894743117189398
Isosceles	90	Single cell	1.4363108314095445	2
Sicelore	90	Pseudobulk	1.225506635861095	1.313683636344908
Sicelore	90	Single cell	1.9937843750178827	2
FLAMES	93	Pseudobulk	1.5687919322514092	2
FLAMES	93	Single cell	1.9002744263714386	2
IsoQuant	93	Pseudobulk	0.5464655307744627	0.3769484870764823
IsoQuant	93	Single cell	1.6705153124318044	2
Isosceles	93	Pseudobulk	0.24645554576657105	0.16201533599026116
Isosceles	93	Single cell	1.2597451019483101	1.2794751303435419
Sicelore	93	Pseudobulk	1.1257888917611947	1.0699156416172242
Sicelore	93	Single cell	1.9869410959712437	2
FLAMES	96	Pseudobulk	1.39027340916606	2
FLAMES	96	Single cell	1.7454125252489439	2
IsoQuant	96	Pseudobulk	0.4799628364259864	0.3417167553876098
IsoQuant	96	Single cell	1.390008232407048	2
Isosceles	96	Pseudobulk	0.218846036743607	0.12788412252665893
Isosceles	96	Single cell	1.0087119965555849	0.7840905259490445
Sicelore	96	Pseudobulk	1.0580911853568469	0.9368462994714413
Sicelore	96	Single cell	1.9636165450391925	2
FLAMES	99	Pseudobulk	1.077814471451992	0.850296257346296
FLAMES	99	Single cell	1.2419488662323297	1.1611702076100638
IsoQuant	99	Pseudobulk	0.3804766881212002	0.3314095965501146
IsoQuant	99	Single cell	0.8112435947642894	0.5464215497085982
Isosceles	99	Pseudobulk	0.19249199503603892	0.1052074991908974
Isosceles	99	Single cell	0.620435285595705	0.46283677420151015
Sicelore	99	Pseudobulk	0.8767914825253482	0.7716771391903566
Sicelore	99	Single cell	1.6580376360126996	2
