UMAP_1	UMAP_2	Progenitors	CR_cells	GABA	Mat_GABA	Glut	Mat_Glut	Rad_glia	Cyc_rad_glia
4.381385502334432	2.7071617360432016	0	0	0	0	0.4501918957757002	0	0.30012793051713343	0.30012793051713343
-0.046060564998789855	1.8738034482319224	0	0	0	0	0	0	0.4577712939260297	0
-0.5280768303910933	2.042151522191273	0	0	0	0	0	0	0	0
-0.16834163952271564	3.22769386723827	0	0	0.8079755631383433	0.35486302557064237	0	0	0	0
-0.7156880228559218	3.0660320039112436	0	0	0.4280656020467182	0.4280656020467182	0	0	0	0
0.7117277951200761	-2.9335526709239614	0	0	0	0.3047193268449729	0.9141579805349187	0	0.6230807853955759	0
4.45857160996993	2.4956839795429575	0.41749695664257236	0	0	0.15902707506143082	0	0	1.0582069285215316	0
-2.871933522705241	-3.158739018885387	0	0	0	0	0.7842699759495444	0.4366967859010929	0.1927993250981291	0
6.218362984176473	0.24897032633613225	0	0	0	0.2033353413592454	0	0	3.400141002299972	0
0.765278753753499	-3.0568022017161978	0	0	0	0	1.6081380312686544	0	0	0
3.5734626622160235	3.003490280659901	0	0	0.49385391779795457	0	0	0	0	0
5.120731052871541	2.27363736584972	0	0	0	0	0	0	0.6876543109012551	0.9242865866700786
-1.1912021218578062	3.0563693757374155	0	0	0	0.4736377793107022	0	0	0	0
-3.3168788580934248	-2.865943360773815	0	0	0	0	1.181942134093486	0	0	0
-2.692963305000468	-2.242983746973766	0	0	0	0	1.0064698511470191	0	0	0
-0.153334322456523	1.8779235596973765	0	0	0	0	0	0	0.43689727111349835	0
-0.888209822658702	3.502276730092274	0	0	0.39598119580937735	1.006141399014527	0	0	0	0
-1.841944876197978	-3.270608592478527	0	0	0	0	0.7619881425879611	0.23356136015918136	0.4671227203183627	0
-0.20441288042466266	2.191770147832142	0	0	0	0.6187413117646138	0	0	0	0
-0.9237129642407141	-3.230246234385265	0	0	0	0	1.3535402346863163	0	0	0
5.1564986081083575	2.174041819127308	0.22995936507342155	0	0	0	0	0	1.3772184160935923	0.36280275348633034
-1.5183906583825788	-3.18026511713673	0	0	0	0	0.5440518175210705	0	0.42952797367861034	0
-2.406807723526164	-2.80080955073048	0	0	0	0	1.0012767939850076	0	0	0
-1.5907613663713178	3.4902685399372446	0	0	0.50345445674428	0	0	0	0.50345445674428	0
4.729458984847859	2.273139309437977	0.30043987183881093	0	0	0	0	0	1.1674784329777024	0
0.11937015962202924	2.4560442681629526	0	0	0.5134713105870806	0	0	0	0	0
-0.10315442371766192	3.312742065938221	0	0	0.3947642583929727	0.3947642583929727	0	0	0.6086005429567993	0
4.421910938735799	2.579688381703602	0.4802853556019137	0	0	0	0.2793982021026929	0	0.7981126721125248	0
1.1846224636991778	-2.7944888357799185	0.8093800254262092	0	0	0.5395866836174729	0	0	1.4898084344453926	0
-0.22393304396073443	-2.3535336737315786	0.6273453272359215	0	0	0	0	0	0	0
5.6068841786344805	1.1657247062046396	0	0	0	0	0	0	3.175530832672816	0.9085509645798041
5.256059822555379	1.6225368495304453	0	0	0	0	0	0	1.83058372139505	1.5027832349199037
-0.7327550976316176	-2.8618814234416616	0	0	0	0	0.49159456702551707	0	0	0
-1.1084650411049566	-3.5686020140330923	0	0	0	0	1.3376575278565157	0	0	0
5.61471527528365	0.18816023722480413	0	0	0	0	0	0	2.8192602277044663	0
-3.007588687423869	-1.6098508124034536	0	0	0	0	0	0	0	0
-3.2059064536134443	-3.0658675913493765	0	0	0	0	0.7713721787823531	0.18936834056869592	0	0
-3.1989606051484785	-2.827895093409313	0	0	0	0	1.2121176495559716	0.20539503191940198	0	0
-2.230385604385539	-2.592142272440685	0	0	0	0	0.3475395479706701	0	0.23169303198044675	0
-3.4511836199800214	-2.735729384867443	0	0	0	0	1.1346576126351613	0	0.23909741945193044	0
-3.3323205142060957	-2.9282380823772085	0	0	0	0	1.3235763149958284	0	0.1559330420582202	0
-1.4323069779912672	-2.108170676676525	0	0	0	0	1.1287746826161569	0	0	0
-0.08641350555817706	1.9572652097065317	0	0	0	0	0	0	0	0
-1.5196579723397932	2.678232025655018	0	0	0.8161329481837752	0.6278014848800179	0	0	2.3756246364208393	0
-0.18952620315949542	-2.2776970152537954	0	0	0	0	0.5506829424668714	0	0	0
-2.6030574469606123	-3.3304151777904165	0	0	0	0	2.003032841787201	0.24709324674455027	0.4095171817443508	0
-0.27260631609360797	2.9539540524799692	0	0	0	0	0	0	0	0
-1.6806915431062421	2.5687199349720347	0	0	0.5522716737042006	0.5522716737042006	0	0	0	0
5.789680656905965	0.18539662316630956	0	0	0	0	0	0	3.2964071739669802	0.49542628421298196
-2.1554507641832075	-3.3963376764934194	0	0	0	0	0.6144724706211379	0.6568334741050778	0	0
-3.2903915076295576	-2.824019837824596	0	0	0	0	0.23292865331650836	0.4277656431639298	0.15528576887767223	0
0.10158222627241986	3.2779408212025034	0	0	0.6839736527066244	0	0	0	0.3419868263533122	0
-3.1919577746431074	-3.072275090662731	0	0	0	0	1.6532049009717422	0.5877906023913845	0.39291354216929847	0
-2.238255920890971	-2.0366441492717398	0	0	0	0	0	0	0	0
3.5451657147367754	3.111428808720814	0	0	0.8872759971794041	0	0	0	0.5429381979934401	0.3443377991859639
-1.0065914868156156	-3.5610665564220083	0	0	0	0.32351400084326504	0.48527100126489753	0	0.32351400084326504	0
-1.9242578773538312	2.6647680516559946	0	0	0.4850188410474119	0	0	0	0	0
-0.2380523710290633	3.550832819493519	0	0	0	0.7678552605469858	0	0	0.7678552605469858	0
